_id,d_templename,d_deity,d_district,d_state,d_pincode,d_era,d_category,d_count,d_year_of_built,d_revenue,d_gold,d_opening_time,d_closing_time,d_email,d_description,__v
65394871a8ceb67474a1d700,Thirupparankunram Murugan,Murugan,Thoothukudi,Tamil Nadu,875788,Chera,Midsize,100,1987-10-25T16:13:58.126Z,90000,100,05:00,07:00,PalaniMurugan@gmail.com,Palani Murugan,0
6539622c42e56be5fec16d70,Pazhamudircholai Murugan,Murugan,Madurai,Tamil Nadu,123456,Chola,Large Size,200,1993-10-25T18:44:33.410Z,50000,100,03:00,05:00,Pazhamudircholai_Murugan@gmail.com,Pazhamudircholai Murugan,0
6539628742e56be5fec16d72,Thiruthani,Murugan,Madurai,Tamil Nadu,123456,Chola,Large Size,200,1995-10-25T18:44:33.410Z,50007,100.98,03:00,05:00,Thiruthani@gmail.com,Thiruthani,0
653962a042e56be5fec16d74,Marudamalai,Murugan,Madurai,Tamil Nadu,123456,Chola,Large Size,200,1997-10-25T18:44:33.410Z,50007,100.98,03:00,05:00,Marudamalai@gmail.com,Marudamalai,0
653962c742e56be5fec16d76,Saluvankuppam,Murugan,Karur,Tamil Nadu,123456,Chola,Large Size,200,1999-10-25T18:44:33.410Z,50007,100.98,03:00,05:00,Saluvankuppam@gmail.com,Saluvankuppam,0
6539631542e56be5fec16d78,Vadapalani,Murugan,Chennai,Tamil Nadu,123456,Chola,Large Size,200,1966-10-25T18:44:33.410Z,50007,100.98,03:00,05:00,Vadapalani@gmail.com,Vadapalani,0
6539632642e56be5fec16d7a,Vadapalani,Murugan,Chennai,Tamil Nadu,123456,Chola,Large Size,200,1966-10-25T18:44:33.410Z,50007,100.98,03:00,05:00,Vadapalani@gmail.com,Vadapalani,0
653963b142e56be5fec16d7c,Mansa Devi,Parvati,Other,Uttarakhand,123456,Chola,Large Size,200,1976-10-25T18:44:33.410Z,50007,100.98,03:00,05:00,Mansa_Devi@gmail.com,Mansa Devi,0
653963ea42e56be5fec16d7e,Kamakhya,Parvati,Other,Assam,123456,Chola,Large Size,200,1978-10-25T18:44:33.410Z,50007,100.98,03:00,05:00,Kamakhya@gmail.com,Kamakhya,0
653963ed42e56be5fec16d80,Kamakhya,Parvati,Other,Assam,123456,Chola,Large Size,200,1978-10-25T18:44:33.410Z,50007,100.98,03:00,05:00,Kamakhya@gmail.com,Kamakhya,0
653963f142e56be5fec16d82,Kamakhya,Parvati,Other,Assam,123456,Chola,Large Size,200,1978-10-25T18:44:33.410Z,50007,100.98,03:00,05:00,Kamakhya@gmail.com,Kamakhya,0
6539643442e56be5fec16d84,Pazhamudircholai Murugan,Murugan,Dharmapuri,Andhra Pradesh,123456,Pandya,Small Size,200,2005-10-25T18:53:11.732Z,50000,100,22:22,11:11,Pazhamudircholai_Murugan@gmail.com,Pazhamudircholai Murugan,0
6539643842e56be5fec16d86,Pazhamudircholai Murugan,Murugan,Dharmapuri,Andhra Pradesh,123456,Pandya,Small Size,200,2005-10-25T18:53:11.732Z,50000,100,22:22,11:11,Pazhamudircholai_Murugan@gmail.com,Pazhamudircholai Murugan,0
653964b542e56be5fec16d88,Pazhamudircholai Murugan,Murugan,Dharmapuri,Andhra Pradesh,123456,Pandya,Small Size,200,2005-10-25T18:53:11.732Z,50000,100,22:22,11:11,Pazhamudircholai_Murugan@gmail.com,Pazhamudircholai Murugan,0
653a09d27b8613c87d87d6c9,Pazhamudircholai Murugan,Murugan,Other,Puducherry,123456,Chola,Small Size,200,1996-10-26T06:39:55.094Z,50000,100,20:00,04:00,Pazhamudircholai_Murugan@gmail.com,Pazhamudircholai Murugan,0
653a0ac17b8613c87d87d6cb,thanumalayan,Shiva,Kanyakumari,Tamil Nadu,123456,Chola,Small Size,200,1999-10-26T06:39:55.094Z,50000,100,20:00,04:00,thanumalayan@gmail.com,thanumalayan,0
653a0b4c7b8613c87d87d6cd,Akshardham,Vishnu,Other,Delhi,898976,Pandya,Midsize,2000,1975-10-26T06:39:55.094Z,500000,70.99,20:00,04:00,Akshardham@gmail.com,Akshardham:),0
653a0ba87b8613c87d87d6cf,Narasimh Swamy ,Narasimha,Other,Tamil Nadu,898976,Pandya,Midsize,2000,1975-10-26T06:39:55.094Z,500000,70.99,20:00,04:00,Narasimha@gmail.com,Narasimha:),0
